TIME,CPI,GDP,UR,IR,LR10,LR10-IR,EXRATE
1998-Q1,1.462294,4.62346,4.633333,,,,
1998-Q2,1.602164,4.067661,4.4,,,,
1998-Q3,1.595855,4.104639,4.533333,,,,
1998-Q4,1.548307,4.998974,4.433333,,,,
1999-Q1,1.667696,4.800728,4.3,4.733333333333333,0.25,4.98333333333,1.1226666666666667
1999-Q2,2.109359,4.649637,4.266667,4.746666666666667,0.7933333333333333,5.54,1.0569333333333333
1999-Q3,2.345981,4.598207,4.233333,5.093333333333334,0.79,5.88333333333,1.0490666666666668
1999-Q4,2.622484,4.694708,4.066667,5.3066666666666675,0.8333333333333334,6.14,1.0381333333333334
2000-Q1,3.240178,4.166983,4.033333,5.676666666666667,0.8033333333333333,6.48,0.9869333333333333
2000-Q2,3.329322,5.266458,3.933333,6.273333333333333,-0.09666666666666666,6.17666666667,0.9337666666666666
2000-Q3,3.508073,4.083183,4.0,6.52,-0.6266666666666667,5.89333333333,0.9042
2000-Q4,3.4271,2.888837,3.9,6.473333333333334,-0.9066666666666666,5.56666666667,0.8686666666666666
2001-Q1,3.393488,2.29952,4.233333,5.593333333333334,-0.5433333333333333,5.05,0.9221333333333334
2001-Q2,3.377329,0.935477,4.4,4.326666666666667,0.9433333333333334,5.27,0.8736
2001-Q3,2.695937,0.494936,4.833333,3.4966666666666666,1.4833333333333334,4.98,0.8914333333333334
2001-Q4,1.857882,0.205059,5.5,2.1333333333333333,2.6366666666666667,4.77,0.8948333333333333
2002-Q1,1.252134,1.41577,5.7,1.7333333333333332,3.3433333333333337,5.07666666667,0.8768333333333334
2002-Q2,1.295531,1.437417,5.833333,1.75,3.35,5.1,0.9197000000000001
2002-Q3,1.59385,2.254915,5.733333,1.74,2.52,4.26,0.9840666666666666
2002-Q4,2.200075,2.036158,5.866667,1.4433333333333334,2.5633333333333335,4.00666666667,1.0006333333333333
2003-Q1,2.866779,1.629193,5.866667,1.25,2.67,3.92,1.0734666666666666
2003-Q2,2.131603,2.009618,6.133333,1.2466666666666668,2.373333333333333,3.62,1.1364
2003-Q3,2.196383,3.215548,6.133333,1.0166666666666666,3.216666666666667,4.23333333333,1.1262333333333332
2003-Q4,1.895124,4.355909,5.833333,0.9966666666666666,3.2900000000000005,4.28666666667,1.1907333333333334
2004-Q1,1.785064,4.414789,5.7,1.0033333333333332,3.016666666666667,4.02,1.2512999999999999
2004-Q2,2.867514,4.213015,5.6,1.01,3.59,4.6,1.2045000000000001
2004-Q3,2.727108,3.427956,5.433333,1.4333333333333333,2.8699999999999997,4.30333333333,1.2227
2004-Q4,3.322499,3.117077,5.433333,1.95,2.223333333333333,4.17333333333,1.297
2005-Q1,3.042233,3.620329,5.3,2.4699999999999998,1.8266666666666669,4.29666666667,1.3107
2005-Q2,2.946366,3.403569,5.1,2.9433333333333334,1.2166666666666666,4.16,1.2598333333333334
2005-Q3,3.83263,3.333141,4.966667,3.4599999999999995,0.7533333333333334,4.21333333333,1.219
2005-Q4,3.739951,3.032171,4.966667,3.98,0.5100000000000001,4.49,1.1890666666666665
2006-Q1,3.6471,3.170415,4.733333,4.456666666666667,0.11333333333333334,4.57,1.2031333333333334
2006-Q2,4.010283,2.941571,4.633333,4.906666666666667,0.16333333333333333,5.07,1.2567000000000002
2006-Q3,3.335591,2.174674,4.633333,5.246666666666667,-0.35000000000000003,4.89666666667,1.2737666666666667
2006-Q4,1.937332,2.389831,4.433333,5.246666666666667,-0.6166666666666667,4.63,1.2903333333333333
2007-Q1,2.424095,1.236758,4.5,5.256666666666667,-0.5766666666666667,4.68,1.3106333333333333
2007-Q2,2.650684,1.707381,4.5,5.25,-0.4033333333333333,4.84666666667,1.3484
2007-Q3,2.360478,2.300275,4.666667,5.073333333333333,-0.3433333333333333,4.73,1.3754
2007-Q4,3.974384,1.867921,4.8,4.496666666666667,-0.2366666666666667,4.26,1.4491666666666667
2008-Q1,4.095428,1.110281,5.0,3.1766666666666663,0.48666666666666664,3.66333333333,1.5002333333333333
2008-Q2,4.379385,0.84037,5.333333,2.0866666666666664,1.8,3.88666666667,1.5623333333333331
2008-Q3,5.302814,-0.313954,6.0,1.9400000000000002,1.9233333333333331,3.86333333333,1.5018666666666667
2008-Q4,1.601687,-2.766846,6.866667,0.5066666666666666,2.7466666666666666,3.25333333333,1.3173666666666666
2009-Q1,-0.04023253,-3.455455,8.266666,0.18333333333333335,2.5533333333333332,2.73666666667,1.3030333333333333
2009-Q2,-1.150445,-4.061911,9.3,0.17999999999999997,3.133333333333333,3.31333333333,1.3619666666666665
2009-Q3,-1.62336,-3.284402,9.633333,0.15666666666666665,3.36,3.51666666667,1.4311
2009-Q4,1.443934,-0.24079,9.933333,0.12,3.34,3.46,1.4769333333333332
2010-Q1,2.360525,1.598609,9.833333,0.13333333333333333,3.5833333333333335,3.71666666667,1.3838666666666668
2010-Q2,1.767765,2.7188,9.633333,0.19333333333333336,3.296666666666667,3.49,1.2734333333333332
2010-Q3,1.175609,3.075855,9.466666,0.18666666666666668,2.6,2.78666666667,1.2938999999999998
2010-Q4,1.270248,2.73073,9.5,0.18666666666666668,2.6766666666666663,2.86333333333,1.3591999999999997
2011-Q1,2.141127,1.893213,9.033334,0.15666666666666668,3.3033333333333332,3.46,1.3682333333333334
2011-Q2,3.430395,1.652663,9.066667,0.09333333333333334,3.1166666666666667,3.21,1.4399333333333333
2011-Q3,3.756174,1.18285,9.0,0.08333333333333333,2.3433333333333337,2.42666666667,1.4118333333333333
2011-Q4,3.293777,1.682174,8.633333,0.07333333333333335,1.9733333333333334,2.04666666667,1.3481666666666667
2012-Q1,2.815192,2.75312,8.266666,0.10333333333333333,1.9333333333333333,2.03666666667,1.3118666666666667
2012-Q2,1.889765,2.487058,8.2,0.15333333333333335,1.67,1.82333333333,1.2835666666666665
2012-Q3,1.697784,2.394632,8.033334,0.14333333333333334,1.5,1.64333333333,1.2523
2012-Q4,1.889365,1.277131,7.8,0.16,1.5466666666666669,1.70666666667,1.2976666666666667
2013-Q1,1.681829,1.313845,7.733333,0.14333333333333334,1.8066666666666666,1.95,1.3201333333333334
2013-Q2,1.39285,1.036296,7.533333,0.11666666666666665,1.8800000000000001,1.99666666667,1.3068333333333333
2013-Q3,1.553359,1.69367,7.266667,0.08333333333333333,2.626666666666667,2.71,1.3255333333333335
2013-Q4,1.233471,2.662455,6.933333,0.08666666666666667,2.66,2.74666666667,1.3615000000000002
